Estación: ,C19031,LA CRUZ. STA. CATARINA
1988-08-27,6,CLIC
1988-08-28,8.5,CLIC
1988-08-29,6.5,CLIC
1988-08-30,6.8,CLIC
1988-08-31,7.5,CLIC
1991-01-01,2.2,CLIC
1991-01-02,4.71,CLIC
1991-01-03,2.92,CLIC
1991-01-04,2.67,CLIC
1991-01-05,2.18,CLIC
1991-01-06,2.28,CLIC
1991-01-07,2.46,CLIC
1991-01-08,1.51,CLIC
1991-01-09,1.09,CLIC
1991-01-10,2.6,CLIC
1991-01-11,2.28,CLIC
1991-01-12,2.43,CLIC
1991-01-13,2.67,CLIC
1991-01-14,1.5,CLIC
1991-01-15,2.34,CLIC
1991-01-16,2.07,CLIC
1991-01-17,1.89,CLIC
1991-01-18,2.95,CLIC
1991-01-19,2.85,CLIC
1991-01-20,1.48,CLIC
1991-01-21,4.42,CLIC
1991-01-22,2.16,CLIC
1991-01-23,2.64,CLIC
1991-01-24,2.69,CLIC
1991-01-25,2.4,CLIC
1991-01-26,2.55,CLIC
1991-01-27,2.47,CLIC
1991-01-28,4.31,CLIC
1991-01-29,3.65,CLIC
1991-01-30,3.1,CLIC
1991-01-31,2,CLIC
1991-02-01,2,CLIC
1991-02-02,4.5,CLIC
1991-02-03,4.6,CLIC
1991-02-04,2.19,CLIC
1991-02-05,13.76,CLIC
1991-02-06,0.94,CLIC
1991-02-07,2.84,CLIC
1991-02-08,4.47,CLIC
1991-02-09,7.9,CLIC
1991-02-10,10.9,CLIC
1991-02-11,0.85,CLIC
1991-02-12,4.25,CLIC
1991-02-13,1.6,CLIC
1991-02-14,5.25,CLIC
1991-02-15,3.57,CLIC
1991-02-16,5.38,CLIC
1991-02-17,9.93,CLIC
1991-02-18,2.74,CLIC
1991-02-19,2.43,CLIC
1991-02-20,5.33,CLIC
1991-02-21,4.62,CLIC
1991-02-22,5.56,CLIC
1991-02-23,3.55,CLIC
1991-02-24,2,CLIC
1991-02-25,2,CLIC
1991-02-26,3,CLIC
1991-02-27,4,CLIC
1991-02-28,3.83,CLIC
1991-11-01,4.9,CLIC
1991-11-02,2.79,CLIC
1991-11-03,3.25,CLIC
1991-11-04,0.12,CLIC
1991-11-05,1,CLIC
1991-11-06,1.19,CLIC
1991-11-07,1.63,CLIC
1991-11-08,4.91,CLIC
1991-11-09,5.01,CLIC
1991-11-10,5.21,CLIC
1991-11-11,6.01,CLIC
1991-11-12,7.32,CLIC
1991-11-13,5.1,CLIC
1991-11-14,3.05,CLIC
1991-11-15,4.97,CLIC
1991-11-16,7.7,CLIC
1991-11-17,2.1,CLIC
1991-11-18,3.3,CLIC
1991-11-19,0.2,CLIC
1991-11-20,3.2,CLIC
1991-11-21,3.1,CLIC
1991-11-22,2.1,CLIC
1991-11-23,2.9,CLIC
1991-11-24,3.2,CLIC
1991-11-25,0.3,CLIC
1991-11-26,8.5,CLIC
1991-11-27,3.21,CLIC
1991-11-28,3.99,CLIC
1991-11-29,2.95,CLIC
1991-11-30,2.85,CLIC
1996-09-01,3.65,CLIC
1996-09-02,2.96,CLIC
1996-09-03,3.75,CLIC
1996-09-04,5.33,CLIC
1996-09-05,3.19,CLIC
1996-09-06,5.29,CLIC
1996-09-07,4.53,CLIC
1996-09-08,3.42,CLIC
1996-09-09,4.63,CLIC
1996-09-10,1.61,CLIC
1996-09-11,3.87,CLIC
1996-09-13,2.9,CLIC
1996-09-14,3.21,CLIC
1996-09-15,4.77,CLIC
1996-09-16,2.55,CLIC
1996-09-17,4.07,CLIC
1996-09-18,5.23,CLIC
1996-09-19,4.22,CLIC
1996-09-20,4.21,CLIC
1996-09-21,6.13,CLIC
1996-09-22,5.69,CLIC
1996-09-23,2.5,CLIC
1996-09-24,3.29,CLIC
1996-09-25,1.88,CLIC
1996-09-26,2.2,CLIC
1996-09-27,3.73,CLIC
1996-09-28,3.8,CLIC
1996-09-29,5.75,CLIC
1996-09-30,4.3,CLIC
1996-10-01,1.65,CLIC
1996-10-02,3.45,CLIC
1996-10-04,1.81,CLIC
1996-10-05,2.74,CLIC
1996-10-06,3.67,CLIC
1996-10-07,3.94,CLIC
1996-10-08,3.28,CLIC
1996-10-09,3.43,CLIC
1996-10-10,4.4,CLIC
1996-10-11,3.35,CLIC
1996-10-12,2.94,CLIC
1996-10-13,3.43,CLIC
1996-10-14,1.86,CLIC
1996-10-15,2.21,CLIC
1996-10-16,4.1,CLIC
1996-10-17,3.14,CLIC
1996-10-18,2.89,CLIC
1996-10-19,2.72,CLIC
1996-10-20,2.88,CLIC
1996-10-21,2.28,CLIC
1996-10-22,2.81,CLIC
1996-10-23,2.03,CLIC
1996-10-24,4.43,CLIC
1996-10-25,3.49,CLIC
1996-10-26,3.92,CLIC
1996-10-27,2.14,CLIC
1996-10-28,3.23,CLIC
1996-10-29,4.24,CLIC
1996-10-30,2.89,CLIC
1996-10-31,3.58,CLIC
1996-11-01,1.4,CLIC
1996-11-02,0.55,CLIC
1996-11-03,3.5,CLIC
1996-11-04,0.92,CLIC
1996-11-05,2.18,CLIC
1996-11-06,1.85,CLIC
1996-11-07,0.51,CLIC
1996-11-08,2.42,CLIC
1996-11-09,2.13,CLIC
1996-11-10,0.94,CLIC
1996-11-11,0.94,CLIC
1996-11-12,1.15,CLIC
1996-11-13,1.65,CLIC
1996-11-14,1.3,CLIC
1996-11-15,1.05,CLIC
1996-11-16,1.9,CLIC
1996-11-17,0.85,CLIC
1996-11-18,0.93,CLIC
1996-11-19,1.31,CLIC
1996-11-20,1.12,CLIC
1996-11-21,2.1,CLIC
1996-11-22,0.54,CLIC
1996-11-23,2.28,CLIC
1996-11-24,0.89,CLIC
1996-11-25,1.09,CLIC
1996-11-26,0.67,CLIC
1996-11-27,0.81,CLIC
1996-11-28,2.42,CLIC
1996-11-29,1.09,CLIC
1996-11-30,0.82,CLIC
1996-12-01,1.83,CLIC
1996-12-02,1.22,CLIC
1996-12-03,0.85,CLIC
1996-12-04,1.04,CLIC
1996-12-05,1.15,CLIC
1996-12-06,1.65,CLIC
1996-12-07,1.25,CLIC
1996-12-08,0.6,CLIC
1996-12-09,1.08,CLIC
1996-12-10,1.28,CLIC
1996-12-11,0.74,CLIC
1996-12-12,1.08,CLIC
1996-12-13,1.12,CLIC
1996-12-14,1.1,CLIC
1996-12-15,0.75,CLIC
1996-12-16,1.3,CLIC
1996-12-17,1.07,CLIC
1996-12-18,1.13,CLIC
1996-12-19,0.93,CLIC
1996-12-20,1.87,CLIC
1996-12-21,1.81,CLIC
1996-12-22,0.46,CLIC
1996-12-23,2.79,CLIC
1996-12-24,2.31,CLIC
1996-12-25,2.73,CLIC
1996-12-26,1.98,CLIC
1996-12-27,2.2,CLIC
1996-12-28,2.85,CLIC
1996-12-29,0.61,CLIC
1996-12-30,0.86,CLIC
1996-12-31,1.38,CLIC
1997-01-01,1.73,CLIC
1997-01-02,0.92,CLIC
1997-01-03,1.2,CLIC
1997-01-04,0.86,CLIC
1997-01-05,0.92,CLIC
1997-01-06,1.17,CLIC
1997-01-07,2.9,CLIC
1997-01-08,2.75,CLIC
1997-01-09,1.05,CLIC
1997-01-10,2.76,CLIC
1997-01-11,3.02,CLIC
1997-01-12,3.08,CLIC
1997-01-13,1.13,CLIC
1997-01-14,0.78,CLIC
1997-01-15,5.23,CLIC
1997-01-16,1.95,CLIC
1997-01-17,2.66,CLIC
1997-01-18,5.19,CLIC
1997-01-19,2.81,CLIC
1997-01-20,5.28,CLIC
1997-01-21,3.21,CLIC
1997-01-22,1.65,CLIC
1997-01-23,5.52,CLIC
1997-01-24,3.61,CLIC
1997-01-25,3.68,CLIC
1997-01-26,1.19,CLIC
1997-01-27,5.03,CLIC
1997-01-28,1.02,CLIC
1997-01-29,1.68,CLIC
1997-01-30,1.12,CLIC
1997-01-31,1.63,CLIC
1997-02-01,3,CLIC
1997-02-02,1.1,CLIC
1997-02-03,1.66,CLIC
1997-02-04,1.26,CLIC
1997-02-05,2.08,CLIC
1997-02-06,0.99,CLIC
1997-02-07,5.91,CLIC
1997-02-08,2.08,CLIC
1997-02-09,3.9,CLIC
1997-02-10,3.97,CLIC
1997-02-11,2.86,CLIC
1997-02-12,6.04,CLIC
1997-02-13,6.21,CLIC
1997-02-14,4.79,CLIC
1997-02-15,2.16,CLIC
1997-02-16,3.01,CLIC
1997-02-17,4.75,CLIC
1997-02-18,4.21,CLIC
1997-02-19,4.12,CLIC
1997-02-20,2.95,CLIC
1997-02-21,2.8,CLIC
1997-02-22,1.5,CLIC
1997-02-23,4.39,CLIC
1997-02-24,4.08,CLIC
1997-02-25,6.62,CLIC
1997-02-26,5.28,CLIC
1997-02-27,4.23,CLIC
1997-02-28,5.66,CLIC
1998-01-01,1.59,CLIC
1998-01-02,11.23,CLIC
1998-01-03,4.71,CLIC
1998-01-04,1.16,CLIC
1998-01-05,3.95,CLIC
1998-01-06,4.2,CLIC
1998-01-07,1.45,CLIC
1998-01-08,2.13,CLIC
1998-01-09,0.79,CLIC
1998-01-10,0.98,CLIC
1998-01-11,1.35,CLIC
1998-01-12,3.65,CLIC
1998-01-13,2.19,CLIC
1998-01-14,2.35,CLIC
1998-01-15,3.61,CLIC
1998-01-16,5.64,CLIC
1998-01-17,1.26,CLIC
1998-01-18,4.75,CLIC
1998-01-19,4.13,CLIC
1998-01-20,1.32,CLIC
1998-01-21,0.95,CLIC
1998-01-22,6.85,CLIC
1998-01-23,4.9,CLIC
1998-01-24,3.89,CLIC
1998-01-25,3.03,CLIC
1998-01-26,3,CLIC
1998-01-27,3.08,CLIC
1998-01-28,0.88,CLIC
1998-01-29,2.97,CLIC
1998-01-30,5.55,CLIC
1998-01-31,4.6,CLIC
1998-03-01,5.03,CLIC
1998-03-02,4.6,CLIC
1998-03-03,5.72,CLIC
1998-03-04,4.28,CLIC
1998-03-05,5.74,CLIC
1998-03-06,4.44,CLIC
1998-03-07,4.2,CLIC
1998-03-08,2.48,CLIC
1998-03-09,1.5,CLIC
1998-03-10,1.8,CLIC
1998-03-11,0.65,CLIC
1998-03-12,4,CLIC
1998-03-13,2.77,CLIC
1998-03-14,1.98,CLIC
1998-03-15,1.21,CLIC
1998-03-16,4.04,CLIC
1998-03-17,4.92,CLIC
1998-03-18,0.86,CLIC
1998-03-19,1.91,CLIC
1998-03-20,2.17,CLIC
1998-03-21,5.09,CLIC
1998-03-22,1.12,CLIC
1998-03-23,3.85,CLIC
1998-03-24,3.06,CLIC
1998-03-25,1.9,CLIC
1998-03-26,2.72,CLIC
1998-03-27,2.47,CLIC
1998-03-28,2.87,CLIC
1998-03-29,1.7,CLIC
1998-03-30,5.38,CLIC
1998-03-31,4.97,CLIC
1998-04-01,4.2,CLIC
1998-04-02,5.13,CLIC
1998-04-03,1.17,CLIC
1998-04-04,2.23,CLIC
1998-04-05,2.17,CLIC
1998-04-06,1.75,CLIC
1998-04-07,0.45,CLIC
1998-04-08,2.67,CLIC
1998-04-09,1.75,CLIC
1998-04-10,1.04,CLIC
1998-04-11,1.09,CLIC
1998-04-12,0.96,CLIC
1998-04-13,4.98,CLIC
1998-04-14,1.82,CLIC
1998-04-15,2.04,CLIC
1998-04-16,1.23,CLIC
1998-04-17,1.6,CLIC
1998-04-18,1.42,CLIC
1998-04-19,3.88,CLIC
1998-04-20,7.84,CLIC
1998-04-21,2.92,CLIC
1998-04-22,3.34,CLIC
1998-04-23,3.94,CLIC
1998-04-24,1.83,CLIC
1998-04-25,2.98,CLIC
1998-04-26,5.03,CLIC
1998-04-27,10.2,CLIC
1998-04-28,6.58,CLIC
1998-04-29,1.02,CLIC
1998-04-30,2.5,CLIC
1998-05-01,1.05,CLIC
1998-05-02,1.63,CLIC
1998-05-03,1.31,CLIC
1998-05-04,1.91,CLIC
1998-05-05,2.11,CLIC
1998-05-06,1.98,CLIC
1998-05-07,2.76,CLIC
1998-05-08,2.07,CLIC
1998-05-09,2.23,CLIC
1998-05-10,0.8,CLIC
1998-05-11,2.13,CLIC
1998-05-12,0.69,CLIC
1998-05-13,2.17,CLIC
1998-05-14,1.15,CLIC
1998-05-15,2.08,CLIC
1998-05-16,1.78,CLIC
1998-05-17,1.25,CLIC
1998-05-18,1.8,CLIC
1998-05-19,2.01,CLIC
1998-05-20,1.01,CLIC
1998-05-21,2.02,CLIC
1998-05-22,1.54,CLIC
1998-05-23,0.98,CLIC
1998-05-24,4.34,CLIC
1998-05-25,0.56,CLIC
1998-05-26,1.39,CLIC
1998-05-27,1.04,CLIC
1998-05-28,1.21,CLIC
1998-05-29,1.47,CLIC
1998-05-30,1.14,CLIC
1998-05-31,1.23,CLIC
2000-01-01,0.88,CLIC
2000-01-02,2.15,CLIC
2000-01-03,1.02,CLIC
2000-01-04,1.73,CLIC
2000-01-05,3.34,CLIC
2000-01-06,1.64,CLIC
2000-01-07,3.11,CLIC
2000-01-08,4.28,CLIC
2000-01-09,2.42,CLIC
2000-01-10,1.21,CLIC
2000-01-11,6.04,CLIC
2000-01-12,3.21,CLIC
2000-01-13,1.5,CLIC
2000-01-14,3.52,CLIC
2000-01-15,1.34,CLIC
2000-01-16,1.38,CLIC
2000-01-17,4.27,CLIC
2000-01-18,4.2,CLIC
2000-01-19,2.46,CLIC
2000-01-20,3.04,CLIC
2000-01-21,0.98,CLIC
2000-01-22,3.68,CLIC
2000-01-23,1.44,CLIC
2000-01-24,1.27,CLIC
2000-01-25,2.63,CLIC
2000-01-26,1.08,CLIC
2000-01-27,0.79,CLIC
2000-01-28,1.98,CLIC
2000-01-29,1.09,CLIC
2000-01-30,1.13,CLIC
2000-01-31,1.03,CLIC
2000-02-01,0.85,CLIC
2000-02-02,2.02,CLIC
2000-02-03,1.21,CLIC
2000-02-04,2.88,CLIC
2000-02-05,3.01,CLIC
2000-02-06,2.97,CLIC
2000-02-07,1.16,CLIC
2000-02-08,1.69,CLIC
2000-02-09,1.88,CLIC
2000-02-10,2.3,CLIC
2000-02-11,1.46,CLIC
2000-02-12,1.27,CLIC
2000-02-13,2.3,CLIC
2000-02-14,1.75,CLIC
2000-02-15,0.89,CLIC
2000-02-16,0.68,CLIC
2000-02-17,6.5,CLIC
2000-02-18,3.12,CLIC
2000-02-19,1.7,CLIC
2000-02-20,3.05,CLIC
2000-02-21,1.77,CLIC
2000-02-22,4.1,CLIC
2000-02-23,2.5,CLIC
2000-02-24,0.4,CLIC
2000-02-25,0.4,CLIC
2000-02-26,2.24,CLIC
2000-02-27,1.92,CLIC
2000-02-28,0.88,CLIC
2000-02-29,2.03,CLIC
2000-03-01,3.08,CLIC
2000-03-02,4.13,CLIC
2000-03-03,6.92,CLIC
2000-03-04,2.18,CLIC
2000-03-05,5.12,CLIC
2000-03-06,4.7,CLIC
2000-03-07,1.99,CLIC
2000-03-08,4.09,CLIC
2000-03-09,2.74,CLIC
2000-03-10,4.22,CLIC
2000-03-11,1.98,CLIC
2000-03-12,2.16,CLIC
2000-03-13,2.76,CLIC
2000-03-14,1.08,CLIC
2000-03-15,0.97,CLIC
2000-03-16,1.83,CLIC
2000-03-17,1.98,CLIC
2000-03-18,1.96,CLIC
2000-03-19,2.34,CLIC
2000-03-20,0.69,CLIC
2000-03-21,0.97,CLIC
2000-03-22,2.26,CLIC
2000-03-23,1.96,CLIC
2000-03-24,2.02,CLIC
2000-03-25,2.13,CLIC
2000-03-26,0.68,CLIC
2000-03-27,1.43,CLIC
2000-03-28,1.75,CLIC
2000-03-29,2.09,CLIC
2000-03-30,1.05,CLIC
2000-03-31,4.2,CLIC
2000-04-01,2.95,CLIC
2000-04-02,1.12,CLIC
2000-04-03,1.2,CLIC
2000-04-04,6.32,CLIC
2000-04-05,0.76,CLIC
2000-04-06,1.02,CLIC
2000-04-07,3.09,CLIC
2000-04-08,0.96,CLIC
2000-04-09,2.08,CLIC
2000-04-10,2.5,CLIC
2000-04-11,2.88,CLIC
2000-04-12,7.55,CLIC
2000-04-13,0.91,CLIC
2000-04-14,2.11,CLIC
2000-04-15,3.01,CLIC
2000-04-16,1.08,CLIC
2000-04-17,2.91,CLIC
2000-04-18,2.97,CLIC
2000-04-19,1.92,CLIC
2000-04-20,2.56,CLIC
2000-04-21,2.46,CLIC
2000-04-22,2.06,CLIC
2000-04-23,1.96,CLIC
2000-04-24,1.97,CLIC
2000-04-25,5.01,CLIC
2000-04-26,3.6,CLIC
2000-04-27,2.19,CLIC
2000-04-28,2.02,CLIC
2000-04-29,2.11,CLIC
2000-04-30,1.89,CLIC
2000-05-01,2.99,CLIC
2000-05-02,3.43,CLIC
2000-05-03,1.58,CLIC
2000-05-04,3.37,CLIC
2000-05-05,2.39,CLIC
2000-05-06,4.51,CLIC
2000-05-07,4.2,CLIC
2000-05-08,1.47,CLIC
2000-05-09,3.98,CLIC
2000-05-10,3.05,CLIC
2000-05-11,0.89,CLIC
2000-05-12,1.96,CLIC
2000-05-13,2.18,CLIC
2000-05-14,1.85,CLIC
2000-05-15,2.02,CLIC
2000-05-16,2.45,CLIC
2000-05-17,2.31,CLIC
2000-05-18,3.4,CLIC
2000-05-19,1.98,CLIC
2000-05-20,1.89,CLIC
2000-05-21,0.97,CLIC
2000-05-22,4.74,CLIC
2000-05-23,2.19,CLIC
2000-05-24,1.57,CLIC
2000-05-25,3.22,CLIC
2000-05-26,4.4,CLIC
2000-05-27,2.5,CLIC
2000-05-28,4.08,CLIC
2000-05-29,4.22,CLIC
2000-05-30,1.3,CLIC
2000-05-31,6.47,CLIC
2000-06-01,0.98,CLIC
2000-06-02,0.62,CLIC
2000-06-03,2.11,CLIC
2000-06-04,1.11,CLIC
2000-06-05,0.92,CLIC
2000-06-06,3.11,CLIC
2000-06-07,5.93,CLIC
2000-06-08,5.27,CLIC
2000-06-09,4.64,CLIC
2000-06-10,4.49,CLIC
2000-06-11,2.25,CLIC
2000-06-12,4.2,CLIC
2000-06-13,2.23,CLIC
2000-06-14,2.95,CLIC
2000-06-15,3.12,CLIC
2000-06-16,1.3,CLIC
2000-06-17,0.82,CLIC
2000-06-18,3.08,CLIC
2000-06-19,5.35,CLIC
2000-06-20,5.75,CLIC
2000-06-21,5.88,CLIC
2000-06-22,4.87,CLIC
2000-06-23,4.97,CLIC
2000-06-24,5.25,CLIC
2000-06-25,0.98,CLIC
2000-06-26,1.92,CLIC
2000-06-27,2.97,CLIC
2000-06-28,2.97,CLIC
2000-06-29,2.96,CLIC
2000-06-30,7.23,CLIC
2000-07-01,3.66,CLIC
2000-07-02,4.15,CLIC
2000-07-03,3.89,CLIC
2000-07-04,5.19,CLIC
2000-07-05,1.85,CLIC
2000-07-06,3.93,CLIC
2000-07-07,3.38,CLIC
2000-07-08,2.9,CLIC
2000-07-09,4.05,CLIC
2000-07-10,3.81,CLIC
2000-07-11,2.86,CLIC
2000-07-12,5.11,CLIC
2000-07-13,2.51,CLIC
2000-07-14,4.18,CLIC
2000-07-15,4.39,CLIC
2000-07-16,2.8,CLIC
2000-07-17,3.87,CLIC
2000-07-18,4.17,CLIC
2000-07-19,4.2,CLIC
2000-07-20,2.5,CLIC
2000-07-21,2.08,CLIC
2000-07-22,0.86,CLIC
2000-07-23,4.78,CLIC
2000-07-24,2.12,CLIC
2000-07-25,0.81,CLIC
2000-07-26,4.35,CLIC
2000-07-27,3.76,CLIC
2000-07-28,3.62,CLIC
2000-07-29,3.94,CLIC
2000-07-30,3.82,CLIC
2000-07-31,3.88,CLIC
2001-01-01,0.6,CLIC
2001-01-02,0.8,CLIC
2001-01-03,2.4,CLIC
2001-01-04,1.2,CLIC
2001-01-05,0.9,CLIC
2001-01-06,1.2,CLIC
2001-01-07,4.05,CLIC
2001-01-08,1.1,CLIC
2001-01-09,1.8,CLIC
2001-01-10,0.2,CLIC
2001-01-11,1.53,CLIC
2001-01-12,2.17,CLIC
2001-01-13,0.3,CLIC
2001-01-14,1.65,CLIC
2001-01-15,3.03,CLIC
2001-01-16,3.42,CLIC
2001-01-17,2.55,CLIC
2001-01-18,5.92,CLIC
2001-01-19,2.03,CLIC
2001-01-20,1.2,CLIC
2001-01-21,4.71,CLIC
2001-01-22,1.59,CLIC
2001-01-23,2.57,CLIC
2001-01-24,4.03,CLIC
2001-01-25,1.6,CLIC
2001-01-26,0.8,CLIC
2001-01-27,2.6,CLIC
2001-01-28,2.1,CLIC
2001-01-29,2.92,CLIC
2001-01-30,1.98,CLIC
2001-01-31,1.9,CLIC
2001-02-01,0.6,CLIC
2001-02-02,2.1,CLIC
2001-02-03,0.99,CLIC
2001-02-04,0.85,CLIC
2001-02-05,2.19,CLIC
2001-02-06,1.77,CLIC
2001-02-07,2.1,CLIC
2001-02-08,1.69,CLIC
2001-02-09,2.06,CLIC
2001-02-10,2.98,CLIC
2001-02-11,2.32,CLIC
2001-02-12,1.1,CLIC
2001-02-13,3.84,CLIC
2001-02-14,0.96,CLIC
2001-02-15,0.75,CLIC
2001-02-16,0.45,CLIC
2001-02-17,4.05,CLIC
2001-02-18,3.35,CLIC
2001-02-19,3.5,CLIC
2001-02-20,3.9,CLIC
2001-02-21,1.56,CLIC
2001-02-22,2.65,CLIC
2001-02-23,3.54,CLIC
2001-02-24,1.94,CLIC
2001-02-25,3.11,CLIC
2001-02-26,1.49,CLIC
2001-02-27,2.6,CLIC
2001-02-28,1.31,CLIC
2001-06-01,1.12,CLIC
2001-06-02,0.78,CLIC
2001-06-03,1.75,CLIC
2001-06-04,2.49,CLIC
2001-06-05,0.93,CLIC
2001-06-06,3.27,CLIC
2001-06-07,2.11,CLIC
2001-06-08,4.8,CLIC
2001-06-09,1.1,CLIC
2001-06-10,0.93,CLIC
2001-06-11,1.76,CLIC
2001-06-12,2.39,CLIC
2001-06-13,3.72,CLIC
2001-06-14,6.1,CLIC
2001-06-15,10.9,CLIC
2001-06-16,2.5,CLIC
2001-06-17,1.5,CLIC
2001-06-18,3.7,CLIC
2001-06-19,5.3,CLIC
2001-06-20,4.7,CLIC
2001-06-21,4.6,CLIC
2001-06-22,4.9,CLIC
2001-06-23,5.3,CLIC
2001-06-24,5.5,CLIC
2001-06-25,4.6,CLIC
2001-06-26,6.4,CLIC
2001-06-27,8.2,CLIC
2001-06-28,4.7,CLIC
2001-06-29,5.5,CLIC
2001-06-30,5.1,CLIC
2002-01-01,3.99,CLIC
2002-01-02,1.69,CLIC
2002-01-03,1.17,CLIC
2002-01-04,1.11,CLIC
2002-01-05,5.09,CLIC
2002-01-06,1.18,CLIC
2002-01-07,4.92,CLIC
2002-01-08,1.22,CLIC
2002-01-09,0.78,CLIC
2002-01-10,1.11,CLIC
2002-01-11,2.51,CLIC
2002-01-12,1.09,CLIC
2002-01-13,1.47,CLIC
2002-01-14,1.39,CLIC
2002-01-15,1.98,CLIC
2002-01-16,2.2,CLIC
2002-01-17,1.73,CLIC
2002-01-18,3.07,CLIC
2002-01-19,2.27,CLIC
2002-01-20,1.8,CLIC
2002-01-21,0.85,CLIC
2002-01-22,4.1,CLIC
2002-01-23,1.54,CLIC
2002-01-24,1.05,CLIC
2002-01-25,1.1,CLIC
2002-01-26,0.94,CLIC
2002-01-27,0.99,CLIC
2002-01-28,1.26,CLIC
2002-01-29,1.43,CLIC
2002-01-30,1.65,CLIC
2002-01-31,0.92,CLIC
2002-02-01,1.03,CLIC
2002-02-02,1.16,CLIC
2002-02-03,0.77,CLIC
2002-02-04,0.98,CLIC
2002-02-05,1.13,CLIC
2002-02-06,1.03,CLIC
2002-02-07,0.33,CLIC
2002-02-08,1.67,CLIC
2002-02-09,0.88,CLIC
2002-02-10,1.14,CLIC
2002-02-11,0.91,CLIC
2002-02-12,1.93,CLIC
2002-02-13,1.25,CLIC
2002-02-14,1.66,CLIC
2002-02-15,0.98,CLIC
2002-02-16,0.91,CLIC
2002-02-17,2.35,CLIC
2002-02-18,0.97,CLIC
2002-02-19,1.72,CLIC
2002-02-20,2.2,CLIC
2002-02-21,1.02,CLIC
2002-02-22,1.08,CLIC
2002-02-23,1.93,CLIC
2002-02-24,1.7,CLIC
2002-02-25,2.25,CLIC
2002-02-26,3.98,CLIC
2002-02-27,3.11,CLIC
2002-02-28,1.85,CLIC
2002-03-01,4.2,CLIC
2002-03-02,1.97,CLIC
2002-03-03,0.99,CLIC
2002-03-04,1.95,CLIC
2002-03-05,1.24,CLIC
2002-03-06,1.15,CLIC
2002-03-07,1.26,CLIC
2002-03-08,0.46,CLIC
2002-03-09,1.38,CLIC
2002-03-10,1.12,CLIC
2002-03-11,1.5,CLIC
2002-03-12,2.31,CLIC
2002-03-13,1.03,CLIC
2002-03-14,1.11,CLIC
2002-03-15,0.74,CLIC
2002-03-16,2.41,CLIC
2002-03-17,0.43,CLIC
2002-03-18,1.31,CLIC
2002-03-19,1.94,CLIC
2002-03-20,0.77,CLIC
2002-03-21,1.52,CLIC
2002-03-22,0.96,CLIC
2002-03-23,0.45,CLIC
2002-03-24,3.01,CLIC
2002-03-25,3.39,CLIC
2002-03-26,0.93,CLIC
2002-03-27,0.54,CLIC
