Estación: ,C19155,LA POZA. GALEANA
Variable: ,Evaporación (mm)
Longitud: ,100° 00' 57.4'',Latitud:,24° 42' 56.6''

Fecha,Valor,NúmDatos
1981-11-01,5,CLIC
1981-11-02,5,CLIC
1981-11-03,2,CLIC
1981-11-04,3,CLIC
1981-11-05,4.9,CLIC
1981-11-06,3.5,CLIC
1981-11-07,4.3,CLIC
1981-11-08,4.3,CLIC
1981-11-09,4.9,CLIC
1981-11-10,4.8,CLIC
1981-11-11,5,CLIC
1981-11-12,5,CLIC
1981-11-13,2,CLIC
1981-11-14,3,CLIC
1981-11-15,4,CLIC
1981-11-16,6,CLIC
1981-11-17,4.9,CLIC
1981-11-18,5.1,CLIC
1981-11-19,5,CLIC
1981-11-20,5,CLIC
1981-11-21,5.1,CLIC
1981-11-22,4.4,CLIC
1981-11-23,4.2,CLIC
1981-11-24,5.2,CLIC
1981-11-25,5.6,CLIC
1981-11-26,5.9,CLIC
1981-11-27,4.5,CLIC
1981-11-28,5.4,CLIC
1981-11-29,2.5,CLIC
1981-11-30,6.7,CLIC
1982-01-01,3.9,CLIC
1982-01-02,3,CLIC
1982-01-03,3.2,CLIC
1982-01-04,4.8,CLIC
1982-01-05,3.1,CLIC
1982-01-06,2,CLIC
1982-01-07,3.4,CLIC
1982-01-08,3.9,CLIC
1982-01-09,4.2,CLIC
1982-01-10,3.8,CLIC
1982-01-11,4.3,CLIC
1982-01-12,3.9,CLIC
1982-01-13,3.2,CLIC
1982-01-14,3.5,CLIC
1982-01-15,4.1,CLIC
1982-01-16,4.2,CLIC
1982-01-17,3.8,CLIC
1982-01-18,3.6,CLIC
1982-01-19,5.3,CLIC
1982-01-20,3.1,CLIC
1982-01-21,4.1,CLIC
1982-01-22,4.4,CLIC
1982-01-23,5.2,CLIC
1982-01-24,3.9,CLIC
1982-01-25,4.1,CLIC
1982-01-26,5,CLIC
1982-01-27,5.8,CLIC
1982-01-28,6.1,CLIC
1982-01-29,5.1,CLIC
1982-01-30,3.3,CLIC
1982-01-31,4.5,CLIC
1982-02-01,2.2,CLIC
1982-02-02,2.8,CLIC
1982-02-03,3.1,CLIC
1982-02-04,2.1,CLIC
1982-02-05,4,CLIC
1982-02-06,2.4,CLIC
1982-02-07,3.9,CLIC
1982-02-08,4,CLIC
1982-02-09,3.7,CLIC
1982-02-10,3.1,CLIC
1982-02-11,4.9,CLIC
1982-02-12,3.4,CLIC
1982-02-13,4,CLIC
1982-02-14,4.1,CLIC
1982-02-15,4.6,CLIC
1982-02-16,4,CLIC
1982-02-17,3.4,CLIC
1982-02-18,6.1,CLIC
1982-02-19,4.4,CLIC
1982-02-20,3.9,CLIC
1982-02-21,4,CLIC
1982-02-22,3.8,CLIC
1982-02-23,4.9,CLIC
1982-02-24,2.2,CLIC
1982-02-25,5.2,CLIC
1982-02-26,4,CLIC
1982-02-27,3.3,CLIC
1982-02-28,4.8,CLIC
1982-03-01,5,CLIC
1982-03-02,5.4,CLIC
1982-03-03,6.7,CLIC
1982-03-04,4.5,CLIC
1982-03-05,5.8,CLIC
1982-03-06,5,CLIC
1982-03-07,6.9,CLIC
1982-03-08,4.6,CLIC
1982-03-09,5.1,CLIC
1982-03-10,5,CLIC
1982-03-11,4.1,CLIC
1982-03-12,4,CLIC
1982-03-13,4.4,CLIC
1982-03-14,5.9,CLIC
1982-03-15,4.6,CLIC
1982-03-16,4.1,CLIC
1982-03-17,4,CLIC
1982-03-18,4,CLIC
1982-03-19,5.1,CLIC
1982-03-20,3.4,CLIC
1982-03-21,5.6,CLIC
1982-03-22,3.3,CLIC
1982-03-23,4.7,CLIC
1982-03-24,3.9,CLIC
1982-03-25,5.4,CLIC
1982-03-26,4.2,CLIC
1982-03-27,6.6,CLIC
1982-03-28,5,CLIC
1982-03-29,5,CLIC
1982-03-30,6,CLIC
1982-10-01,1.7,CLIC
1982-10-02,3,CLIC
1982-10-03,3,CLIC
1982-10-04,4,CLIC
1982-10-05,5,CLIC
1982-10-07,2.7,CLIC
1982-10-08,3,CLIC
1982-10-09,2,CLIC
1982-10-10,4,CLIC
1982-10-11,3,CLIC
1982-10-12,2.9,CLIC
1982-10-13,2,CLIC
1982-10-14,3,CLIC
1982-10-15,2,CLIC
1982-10-16,1.9,CLIC
1982-10-17,3.3,CLIC
1982-10-18,2.8,CLIC
1982-10-19,2.1,CLIC
1982-10-20,2,CLIC
1982-10-21,3,CLIC
1982-10-22,3,CLIC
1982-10-23,3,CLIC
1982-10-24,3,CLIC
1982-10-25,3.1,CLIC
1982-10-26,3.5,CLIC
1982-10-27,3.2,CLIC
1982-10-28,2.9,CLIC
1982-10-29,3.6,CLIC
1982-10-30,3,CLIC
1982-10-31,3.5,CLIC
1982-11-01,3.5,CLIC
1982-11-02,5,CLIC
1982-11-03,3.5,CLIC
1982-11-04,3.5,CLIC
1982-11-05,4.3,CLIC
1982-11-06,3.4,CLIC
1982-11-07,2,CLIC
1982-11-08,1,CLIC
1982-11-09,2.2,CLIC
1982-11-10,1.9,CLIC
1982-11-11,1.6,CLIC
1982-11-12,3.5,CLIC
1982-11-13,1,CLIC
1982-11-14,1.9,CLIC
1982-11-15,1.1,CLIC
1982-11-16,1,CLIC
1982-11-17,1.1,CLIC
1982-11-18,0.9,CLIC
1982-11-19,3,CLIC
1982-11-20,1,CLIC
1982-11-21,2,CLIC
1982-11-22,2,CLIC
1982-11-23,1.4,CLIC
1982-11-24,1.7,CLIC
1982-11-25,2,CLIC
1982-11-26,1.3,CLIC
1982-11-27,2.8,CLIC
1982-11-28,2,CLIC
1982-11-29,3.8,CLIC
1982-11-30,1.6,CLIC
1983-04-01,4.8,CLIC
1983-04-02,4.4,CLIC
1983-04-03,5.1,CLIC
1983-04-04,3.9,CLIC
1983-04-05,4.8,CLIC
1983-04-06,5.2,CLIC
1983-04-07,5.1,CLIC
1983-04-08,5.8,CLIC
1983-04-09,4.3,CLIC
1983-04-10,3,CLIC
1983-04-11,3.4,CLIC
1983-04-12,3.3,CLIC
1983-04-13,5.1,CLIC
1983-04-14,4.9,CLIC
1983-04-15,3.1,CLIC
1983-04-16,3.5,CLIC
1983-04-17,3.6,CLIC
1983-04-18,4.8,CLIC
1983-04-19,4.7,CLIC
1983-04-20,3.7,CLIC
1983-04-21,0.5,CLIC
1983-04-22,4.9,CLIC
1983-04-23,5.8,CLIC
1983-04-24,4.8,CLIC
1983-04-25,4.2,CLIC
1983-04-26,4.1,CLIC
1983-04-27,4.6,CLIC
1983-04-28,3.5,CLIC
1983-04-29,4.2,CLIC
1983-04-30,4.1,CLIC
1984-01-01,3.69,CLIC
1984-01-02,2.15,CLIC
1984-01-03,2.06,CLIC
1984-01-04,2.14,CLIC
1984-01-05,3.79,CLIC
1984-01-06,2.01,CLIC
1984-01-07,1.4,CLIC
1984-01-08,3.66,CLIC
1984-01-09,1.74,CLIC
1984-01-10,3.01,CLIC
1984-01-11,3.2,CLIC
1984-01-12,2.86,CLIC
1984-01-13,1.27,CLIC
1984-01-14,1.88,CLIC
1984-01-15,3.4,CLIC
1984-01-16,1.69,CLIC
1984-01-17,1.9,CLIC
1984-01-18,1.39,CLIC
1984-01-19,2.65,CLIC
1984-01-20,1.96,CLIC
1984-01-21,2.39,CLIC
1984-01-22,2.3,CLIC
1984-01-23,2.54,CLIC
1984-01-25,0.94,CLIC
1984-01-26,0.43,CLIC
1984-01-27,3.02,CLIC
1984-01-28,3.05,CLIC
1984-01-29,1.01,CLIC
1984-01-30,3.43,CLIC
1984-01-31,3.06,CLIC
1984-05-01,2.08,CLIC
1984-05-02,2.02,CLIC
1984-05-03,2.03,CLIC
1984-05-04,3.02,CLIC
1984-05-05,2.01,CLIC
1984-05-06,2.01,CLIC
1984-05-07,3.02,CLIC
1984-05-08,2.04,CLIC
1984-05-09,4.01,CLIC
1984-05-10,2.03,CLIC
1984-05-11,4.04,CLIC
1984-05-12,3.04,CLIC
1984-05-13,6.02,CLIC
1984-05-14,1.52,CLIC
1984-05-15,1.88,CLIC
1984-05-16,2.3,CLIC
1984-05-17,1.17,CLIC
1984-05-18,1.19,CLIC
1984-05-19,2.93,CLIC
1984-05-20,3.09,CLIC
1984-05-21,2.01,CLIC
1984-05-22,1.02,CLIC
1984-05-23,1.02,CLIC
1984-05-24,3.02,CLIC
1984-05-25,2.02,CLIC
1984-05-26,2.02,CLIC
1984-05-27,1.02,CLIC
1984-05-28,2.16,CLIC
1984-05-29,1.11,CLIC
1984-05-30,2.1,CLIC
1984-05-31,1.14,CLIC
1984-06-01,3.04,CLIC
1984-06-02,2.02,CLIC
1984-06-03,2.01,CLIC
1984-06-04,5.03,CLIC
1984-06-05,3.04,CLIC
1984-06-06,3.01,CLIC
1984-06-07,2.02,CLIC
1984-06-08,2.04,CLIC
1984-06-09,2.02,CLIC
1984-06-10,1.01,CLIC
1984-06-11,1.01,CLIC
1984-06-12,1.81,CLIC
1984-06-13,2.1,CLIC
1984-06-14,2.34,CLIC
1984-06-15,2.01,CLIC
1984-06-16,2.02,CLIC
1984-06-17,2.01,CLIC
1984-06-18,3.03,CLIC
1984-06-19,2.19,CLIC
1984-06-20,2.4,CLIC
1984-06-21,1.67,CLIC
1984-06-22,2.01,CLIC
1984-06-23,3.04,CLIC
1984-06-24,1.02,CLIC
1984-06-25,2.02,CLIC
1984-06-26,2.01,CLIC
1984-06-27,4.02,CLIC
1984-06-28,2.03,CLIC
1984-06-29,1.02,CLIC
1984-06-30,1.95,CLIC
1984-07-01,2.08,CLIC
1984-07-02,2.02,CLIC
1984-07-03,2.02,CLIC
1984-07-04,1.01,CLIC
1984-07-05,0.1,CLIC
1984-07-06,7.91,CLIC
1984-07-07,6.03,CLIC
1984-07-08,11.02,CLIC
1984-07-09,9.03,CLIC
1984-07-10,9.02,CLIC
1984-07-11,7.09,CLIC
1984-07-12,5.01,CLIC
1984-07-13,12.03,CLIC
1984-07-14,4.01,CLIC
1984-07-15,3.02,CLIC
1984-07-16,6.02,CLIC
1984-07-17,4.01,CLIC
1984-07-18,7.03,CLIC
1984-07-19,9.34,CLIC
1984-07-20,6.02,CLIC
1984-07-21,4.02,CLIC
1984-07-22,6.01,CLIC
1984-07-23,4.01,CLIC
1984-07-24,8.42,CLIC
1984-07-25,1.02,CLIC
1984-07-26,1.02,CLIC
