Estación: ,C19050,RAICES. GALEANA
Variable: ,Evaporación (mm)
Longitud: ,100° 14' 19.1'',Latitud:,24° 34' 01.6''

Fecha,Valor,NúmDatos
1990-07-14,6.8,CLIC
1990-07-15,0.5,CLIC
1990-07-16,9.8,CLIC
1990-07-18,2.36,CLIC
1990-07-19,2.7,CLIC
1990-07-20,3,CLIC
1990-07-21,4.6,CLIC
1990-07-22,6.4,CLIC
1990-07-23,5.3,CLIC
1990-07-24,7.8,CLIC
1990-07-25,5,CLIC
1990-07-26,6.2,CLIC
1990-07-27,5.6,CLIC
1990-07-28,6.2,CLIC
1990-07-29,3.2,CLIC
1990-07-30,3.9,CLIC
1990-07-31,1,CLIC
1990-09-01,6.5,CLIC
1990-09-02,2,CLIC
1990-09-03,4.4,CLIC
1990-09-04,3.6,CLIC
1990-09-05,3.9,CLIC
1990-09-06,2.4,CLIC
1990-09-07,6.6,CLIC
1990-09-08,1.1,CLIC
1990-09-09,2.8,CLIC
1990-09-10,3.1,CLIC
1990-09-11,0.6,CLIC
1990-09-12,0.1,CLIC
1990-09-13,0.3,CLIC
1990-09-14,1.1,CLIC
1990-09-15,2.2,CLIC
1990-09-16,3,CLIC
1990-09-17,5,CLIC
1990-09-18,2.6,CLIC
1990-09-19,3.7,CLIC
1990-09-20,0.7,CLIC
1990-09-21,3,CLIC
1990-09-22,4.9,CLIC
1990-09-23,3.9,CLIC
1990-09-24,3.4,CLIC
1990-09-25,1.7,CLIC
1990-09-26,3.9,CLIC
1990-09-27,3.9,CLIC
1990-09-28,5.8,CLIC
1990-09-29,1.7,CLIC
1990-09-30,4.9,CLIC
1990-10-01,4,CLIC
1990-10-02,3.1,CLIC
1990-10-03,3,CLIC
1990-10-04,3.2,CLIC
1990-10-05,4.5,CLIC
1990-10-06,1.9,CLIC
1990-10-07,3,CLIC
1990-10-08,3.1,CLIC
1990-10-09,2.1,CLIC
1990-10-10,5,CLIC
1990-10-11,2,CLIC
1990-10-12,3.8,CLIC
1990-10-13,2.6,CLIC
1990-10-14,1.8,CLIC
1990-10-15,2.7,CLIC
1990-10-16,3.5,CLIC
1990-10-17,3.9,CLIC
1990-10-18,5.2,CLIC
1990-10-19,0.9,CLIC
1990-10-20,1,CLIC
1990-10-21,1.4,CLIC
1990-10-22,2.9,CLIC
1990-10-23,1.6,CLIC
1990-10-24,2.7,CLIC
1990-10-25,3.3,CLIC
1990-10-26,5,CLIC
1990-10-27,2.3,CLIC
1990-10-28,2.3,CLIC
1990-10-29,2.4,CLIC
1990-10-30,2.7,CLIC
1990-10-31,3,CLIC
1990-11-01,1.8,CLIC
1990-11-02,2.2,CLIC
1990-11-03,2,CLIC
1990-11-04,1.8,CLIC
1990-11-05,4,CLIC
1990-11-06,2.1,CLIC
1990-11-07,2.4,CLIC
1990-11-08,2.8,CLIC
1990-11-09,2.7,CLIC
1990-11-10,5,CLIC
1990-11-11,2.2,CLIC
1990-11-12,3.3,CLIC
1990-11-13,1.2,CLIC
1990-11-14,2.3,CLIC
1990-11-15,1.2,CLIC
1990-11-16,2,CLIC
1990-11-17,3.1,CLIC
1990-11-18,2.6,CLIC
1990-11-19,2.6,CLIC
1990-11-20,3.1,CLIC
1990-11-21,1.3,CLIC
1990-11-22,2,CLIC
1990-11-23,1.3,CLIC
1990-11-24,1.5,CLIC
1990-11-25,1,CLIC
1990-11-26,2,CLIC
1990-11-27,2.1,CLIC
1990-11-28,0.9,CLIC
1990-12-06,1.8,CLIC
1990-12-07,1.1,CLIC
1990-12-08,1,CLIC
1990-12-09,0.8,CLIC
1990-12-10,1.2,CLIC
1990-12-11,2,CLIC
1990-12-12,0.8,CLIC
1990-12-13,1.4,CLIC
1990-12-14,2.9,CLIC
1990-12-15,1.1,CLIC
1990-12-16,2,CLIC
1990-12-17,2.3,CLIC
1990-12-18,3.8,CLIC
1990-12-19,3.1,CLIC
1990-12-20,3,CLIC
1990-12-21,2.8,CLIC
1990-12-22,3.3,CLIC
1990-12-23,4.9,CLIC
1990-12-24,3.7,CLIC
